what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516680230642
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516680233287
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516680233441
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516680233508
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516680237361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1516680246388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1516680268736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516680653938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719538288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516719554296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719561881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719612298
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516719612384
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516719612453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719776994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719783445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1516719837305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719851612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719852542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720051474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720155147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720248975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720272222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720352384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720624723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720653380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720654484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720662106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720665242
error,log,,,"JavaBuilder handling CoreException",1516720665609
error,log,,,"JavaBuilder handling CoreException",1516720665646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720666075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720668174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720673556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516720743719
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516720754690
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516720758043
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516720758142
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516720791619
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516720792388
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516720793198
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516720795116
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1516720797727
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1516720798902
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516720828600
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516720830430
